 KIC incl e_incl_pos e_incl_neg n_comp
 8158382 65.3 11.7 11.7 2
 8161789 30.2 13.0 30.2 1
 8162712 69.2 20.8  9.3 2
 8172679 53.0 15.7 15.7 3
 8173581 28.8 12.4 28.8 1
 8175678 71.3 18.7  6.6 2
 8176259 72.2 17.8  8.6 2
 8181816 67.1 22.9  8.2 2
 8188772 43.8 15.6 15.6 3
 8192892 25.0 10.7 25.0 1
 8210306 66.8 23.1 10.8 2
 8214394 78.0 12.0  5.3 2
 8221785 60.2 11.6 11.6 3
 8235144 76.3 13.7  7.3 2
 8235991 63.1 11.4 11.4 2
 8250069 28.6 12.3 28.6 1
 8262338 58.1 13.6 13.6 2
 8264074 69.3 14.1 14.1 3
 8283356 78.6 11.4  6.3 2
 8299489 29.3 12.7 29.3 1
 8301905 28.5 12.2 28.5 1
 8307791 66.1 23.9  7.7 2
 8308639 70.7 19.3  9.1 2
 8309466 69.8 12.9 12.9 2
 8312512 68.2  6.4  6.4 2
 8315560 59.5 12.9 12.9 3
 8315796 48.0 14.9 14.9 3
 8316412 70.5 11.1 11.1 2
 8323295 29.5 12.7 29.5 1
 8328390 33.3 14.5 33.3 1
 8330073 71.3 18.7  8.4 2
 8344592 69.3 20.7 11.8 2
 8345515 73.6 16.4  6.9 2
 8358990 31.6 13.7 31.6 1
 8360297 20.8  8.8 20.8 1
 8364786 32.6 14.2 32.6 1
 8366239 73.1  8.4  8.4 2
 8374394 71.7 18.3  7.8 2
 8377962 28.9 12.4 28.9 1
 8381622 43.5 16.5 16.5 3
 8387668 28.7 12.3 28.7 1
 8391545 28.7 12.3 28.7 1
 8418309 68.0  9.4  9.4 3
 8420916 66.0 24.0  7.0 2
 8420954 71.7 18.3  9.6 2
 8423708 78.0 12.0  5.8 2
 8425211 26.2 11.2 26.2 1
 8426672 72.3 17.7  9.7 2
 8428095 67.9 22.1  8.3 2
 8429977 25.9 11.1 25.9 1
 8431083 69.2 20.8  7.0 2
 8432800 57.3 16.6 16.6 3
 8440248 73.2 16.8  9.8 2
 8451486 71.9 18.1 11.7 2
 8453896 23.4 10.0 23.4 1
 8458124 61.4 15.6 15.6 3
 8458459 59.4 13.5 13.5 2
 8458954 48.1 12.4 12.4 3
 8459085 61.4 14.7 14.7 3
 8460470 54.4  8.6  8.6 3
 8475025 80.2  9.8  5.1 2
 8480097 36.2 15.6 15.6 3
 8488530 52.6 11.3 11.3 3
 8494157 25.0 10.7 25.0 1
 8494160 14.6  6.1 14.6 1
 8505072 58.1 17.9 17.9 2
 8507484 20.0  8.4 20.0 1
 8510560 71.7 18.3  8.3 2
 8518198 66.7 11.5 11.5 3
 8524315 53.7 12.6 12.6 3
 8526691 70.5 19.5  7.1 2
 8538793 73.1 16.9  7.3 2
 8540034 59.2 13.6 13.6 3
 8543569 70.7 19.3  8.0 2
 8545504 54.1 11.1 11.1 3
 8555599 55.8  9.8  9.8 3
 8564157 65.2 12.8 12.8 2
 8564976 74.6 15.4  7.7 2
 8574234 23.9 10.2 23.9 1
 8579095 52.7 15.6 15.6 3
 8583313 75.5 14.5  9.8 2
 8605197 70.0  8.1  8.1 2
 8607365 55.8 10.7 10.7 3
 8609482 20.7  8.7 20.7 1
 8611394 18.0  7.6 18.0 1
 8612480 27.4 11.8 27.4 1
 8613617 74.8  6.8  6.8 2
 8620380 75.3 14.7  5.8 2
 8620872 27.3 11.7 27.3 1
 8623565 73.6 16.4  7.7 2
 8623655 68.3 21.7  5.9 2
 8630459 28.6 12.3 28.6 1
 8630587 58.4 12.9 12.9 3
 8636389 48.9 12.1 12.1 3
 8648759 22.9  9.7 22.9 1
 8673261 31.4 13.6 31.4 1
 8674172 16.3  6.9 16.3 1
 8678638 47.0 15.6 15.6 3
 8684542 71.9 18.1  7.4 2
 8686904 73.2 16.8  9.5 2
 8688421 29.2 12.6 29.2 1
 8694617 70.4 19.6 14.4 2
 8718745 14.7  6.2 14.7 1
 8733697 70.7 19.3  5.6 2
 8742229 26.1 11.2 26.1 1
 8742545 17.4  7.3 17.4 1
 8742912 69.3 20.7  6.8 2
 8766846 74.2 15.8  7.0 2
 8806387 33.1 14.4 33.1 1
 8807777 65.9 24.1  7.4 2
 8813618 55.2 17.1 17.1 3
 8815404 66.6 23.4  6.1 2
